SERIAL_NUMBER,VIOLATION_STATUS,VIOLATION_CODE,VIOLATION_DESCRIPTION,ObjectId
DA1AJAE0S,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9236
DA1AJAE0S,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9237
DA2IUFGJU,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9238
DA2IUFGJU,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9239
DA2XJ2DS2,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9240
DA2XJ2DS2,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9241
DA2XJ2DS2,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9242
DA7KRFOVF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9243
DA7KRFOVF,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT,9244
DA7KRFOVF,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,9245
DA7KRFOVF,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9246
DAICG4M0M,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9247
DAICG4M0M,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9248
DAICG4M0M,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9249
DAICG4M0M,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9250
DAXWMTCIT,OUT OF COMPLIANCE,H091,WALL/CEILING/FLOOR - MOLD - PREMISES,9251
DAXWMTCIT,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9252
DA5TOT5CS,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9253
DA5TOT5CS,OUT OF COMPLIANCE,H022,FURNITURE - UNIT,9254
DA5TOT5CS,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9255
DAMGMOYQR,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9256
DAMGMOYQR,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9257
DAMGMOYQR,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9258
DAMGMOYQR,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9259
DAOJQD3HN,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9260
DAQTSZOSB,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9261
DARR7VEL6,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,9262
DARR7VEL6,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9263
DARR7VEL6,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9264
DAYQJFLAW,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9265
DAYQJFLAW,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9266
DA0NAXA4Z,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9267
DA0NAXA4Z,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9268
DA0NAXA4Z,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9269
DA0NAXA4Z,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9270
DA0NAXA4Z,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9271
DAD03KNNL,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9272
DAXZIIYZN,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9273
DAYROMRGA,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9274
DAYROMRGA,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,9275
DAYROMRGA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9276
DAZLPAZTW,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9277
DA2KGVBCV,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9278
DA2KGVBCV,OUT OF COMPLIANCE,H057,COCKROACHES - PREMISES,9279
DA2KGVBCV,OUT OF COMPLIANCE,H095,STAIRS - PREMISES,9280
DA2KGVBCV,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9281
DA3BDKZLI,OUT OF COMPLIANCE,H042,NO WATER - UNIT,9282
DA9GLCEFO,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9283
DA9GLCEFO,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9284
DA9GLCEFO,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9285
DA9GLCEFO,OUT OF COMPLIANCE,CP26,ELECTRICAL,9286
DA9GLCEFO,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9287
DA9GLCEFO,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,9288
DA9YCRVRU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9289
DA9YCRVRU,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9290
DA9YCRVRU,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,9291
DAATLJ7YY,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9292
DABSIB9QC,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9293
DABSIB9QC,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9294
DACRFHLV2,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,9295
DACRFHLV2,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9296
DAFDTGA9M,OUT OF COMPLIANCE,H076,APPLIANCES - PREMISES,9297
DAFJEBK8R,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9298
DAGU6CYFY,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9299
DAGU6CYFY,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9300
DA97AJKQ0,OUT OF COMPLIANCE,H044,FAUCET FIXTURES - UNIT,9301
DA2449503,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9302
DA0L4AQK3,OUT OF COMPLIANCE,H027,INADEQUATE LIGHTING - UNIT,9303
DA5TOECZJ,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9304
DACYVTD4P,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9305
DAIZHSZHU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9306
DAIZHSZHU,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9307
DAIZHSZHU,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9308
DAJ0OFPWK,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9309
DAJ0OFPWK,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9310
DAMUO9AZB,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9311
DAN1VJY9Y,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9312
DAN1VJY9Y,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9313
DAN1VJY9Y,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9314
DAN1VJY9Y,OUT OF COMPLIANCE,CP26,ELECTRICAL,9315
DAN1VJY9Y,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,9316
DAN1VJY9Y,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9317
DAN1VJY9Y,OUT OF COMPLIANCE,CP20,SAFETY DETECTORS,9318
DAN1VJY9Y,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9319
DASA8ZIWD,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9320
DASA8ZIWD,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9321
DATQTWX00,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9322
DATQTWX00,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9323
DATQTWX00,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9324
DATQTWX00,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9325
DAVWSYROJ,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9326
DAY6SJIPR,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9327
DAY6SJIPR,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9328
DAY6SJIPR,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9329
DAY6SJIPR,OUT OF COMPLIANCE,H011,COVER PLATES - UNIT,9330
DAY6SJIPR,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9331
DA0OOKLDG,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9332
DA0OOKLDG,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9333
DA0OOKLDG,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9334
DA0OOKLDG,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9335
DA0OOKLDG,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9336
DA8I6LFC5,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9337
DA9VYB09F,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9338
DAJPYCACK,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9339
DAJPYCACK,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9340
DANVOPLF5,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9341
DAPWJUOJD,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9342
DAPWJUOJD,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9343
DAPWJUOJD,OUT OF COMPLIANCE,H016,FIXTURES - UNIT,9344
DAPWJUOJD,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9345
DAPWJUOJD,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9346
DAPWJUOJD,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9347
DAPWJUOJD,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,9348
DAPWJUOJD,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9349
DASFJ501D,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,9350
DAVAAVTI9,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9351
DA080CQBR,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,9352
DA0L4AQK3,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9353
DA0QCIJPN,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,9354
DA2QV4XBW,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9355
DAHLHNLZS,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9356
DA4NUX9TU,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9357
DAKEEQEUP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9358
DAMCZAT0G,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9359
DAPL0JZ6S,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9360
DAUWDM2AA,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9361
DAUWDM2AA,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9362
DAVPJEQRQ,OUT OF COMPLIANCE,H092,WINDOWS/SCREENS - PREMISES,9363
DAVPJEQRQ,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9364
DAVPJEQRQ,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9365
DAVPJEQRQ,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9366
DAVPJEQRQ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9367
DAYER0F0C,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9368
DAZEIA3SS,OUT OF COMPLIANCE,CP23,EQUIPMENT AND APPLIANCES MAINTAINED,9369
DAZEIA3SS,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9370
DA3WLJQGS,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9371
DA3WLJQGS,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9372
DA5FRYZAV,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9373
DA8JXVAB2,OUT OF COMPLIANCE,H070,TANK/BASE/BOWL/OTHER - PREMISES,9374
DA8JXVAB2,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9375
DAACEQILM,OUT OF COMPLIANCE,H098,NO WATER - PREMISES,9376
DAIGBYN1O,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9377
DAIGBYN1O,OUT OF COMPLIANCE,CP35,SHOWERS,9378
DAIGBYN1O,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9379
DAIGBYN1O,OUT OF COMPLIANCE,H091,WALL/CEILING/FLOOR - MOLD - PREMISES,9380
DAKG0ZU05,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9381
DAKG0ZU05,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9382
DALLPQ74E,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9383
DAPYCXXYR,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9384
DAPYCXXYR,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9385
DAPYCXXYR,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9386
DAPYCXXYR,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9387
DATVIQ3AG,OUT OF COMPLIANCE,H017,INOPERABLE - UNIT,9388
DAVGTFQGF,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9389
DAXNQQOHX,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9390
DAXNQQOHX,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9391
DAY9WI1VP,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9392
DAY9WI1VP,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9393
DAZRAG8KP,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9394
DAOQIF84K,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9395
DAQB8SJSW,OUT OF COMPLIANCE,CP23,EQUIPMENT AND APPLIANCES MAINTAINED,9396
DAXWP2TK0,OUT OF COMPLIANCE,H097,ONSITE OWNER/RESPONSIBLE PERSON - PREMISES,9397
DAZDVUTQW,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9398
DA2440394,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9399
DA2440394,OUT OF COMPLIANCE,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES,9400
DACW6GZ8T,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9401
DACW6GZ8T,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9402
DAG8YQMVI,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9403
DAS1PRZDR,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9404
DAZRZT4OI,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9405
DAZRZT4OI,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9406
DA5XOT6HC,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9407
DA8UYHVSU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9408
DAJXP000K,OUT OF COMPLIANCE,H094,ROOF - PREMISES,9409
DA2QV4XBW,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9410
DA8UYHVSU,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9411
DA8UYHVSU,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9412
DA8UYHVSU,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9413
DA9AMUDFS,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9414
DA9AMUDFS,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9415
DAAMXWFSU,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9416
DAAMXWFSU,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9417
DAAMXWFSU,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9418
DABAAR8YP,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9419
DABAAR8YP,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9420
DABAAR8YP,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9421
DABAAR8YP,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9422
DABAAR8YP,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9423
DACKXVISD,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9424
DACKXVISD,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9425
DACKXVISD,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9426
DAMTMXFXL,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9427
DAMTMXFXL,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9428
DAMTMXFXL,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9429
DAMTMXFXL,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9430
DAMTMXFXL,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9431
DAMTMXFXL,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9432
DAPREEXU2,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9433
DATMD0FNX,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9434
DAUU0HYEO,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9435
DAWDB1F0R,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9436
DAXSHQSTE,OUT OF COMPLIANCE,H023,"COUNTERS, CABINETS, VANITIES, SHELVING, ETC. - UNIT",9437
DAXSHQSTE,OUT OF COMPLIANCE,H091,WALL/CEILING/FLOOR - MOLD - PREMISES,9438
DAXSHQSTE,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9439
DAXSHQSTE,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9440
DAYB5YMOL,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9441
DAYB5YMOL,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9442
DAYB5YMOL,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9443
DA0K8BZLS,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9444
DA0K8BZLS,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,9445
DA7KKKUIG,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9446
DA7KKKUIG,OUT OF COMPLIANCE,H037,VENTILATION - UNIT,9447
DA7KKKUIG,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9448
DA9OE7BVF,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9449
DA9OE7BVF,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9450
DA9OE7BVF,OUT OF COMPLIANCE,H096,VENT SCREENS - PREMISES,9451
DA9OE7BVF,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9452
DAAFVNVPT,OUT OF COMPLIANCE,H012,OUTLET/FIXTURES - UNIT,9453
DAAFVNVPT,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9454
DAAFVNVPT,OUT OF COMPLIANCE,H091,WALL/CEILING/FLOOR - MOLD - PREMISES,9455
DAC7FHRUP,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9456
DAHLHNLZS,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9457
DA8MUOYRO,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9458
DAAX98MPY,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9459
DAAX98MPY,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9460
DAAX98MPY,OUT OF COMPLIANCE,H090,WALL/CEILING/FLOOR - PEELING PAINT - PREMISES,9461
DAAX98MPY,OUT OF COMPLIANCE,H091,WALL/CEILING/FLOOR - MOLD - PREMISES,9462
DAAX98MPY,OUT OF COMPLIANCE,H086,REFUSE AREA/BINS - PREMISES,9463
DAAX98MPY,OUT OF COMPLIANCE,H084,COMMON RESTROOM,9464
DAH7MN7MI,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9465
DALYQIXVJ,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9466
DALYQIXVJ,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9467
DALYQIXVJ,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9468
DALYQIXVJ,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9469
DALYQIXVJ,OUT OF COMPLIANCE,H014,TANK/BASE/BOWL/OTHER - UNIT,9470
DALYQIXVJ,OUT OF COMPLIANCE,H010,SEWER/DRAIN LINES - UNIT,9471
DALYQIXVJ,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9472
DAPS06VI5,OUT OF COMPLIANCE,H063,WATER LINE - PREMISES,9473
DAUE0S17G,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9474
DAUE0S17G,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9475
DAUE0S17G,OUT OF COMPLIANCE,H034,WALL/CEILING/FLOOR - PEELING PAINT - UNIT,9476
DAWMSF0DX,OUT OF COMPLIANCE,H096,VENT SCREENS - PREMISES,9477
DAWMSF0DX,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9478
DAWMSF0DX,OUT OF COMPLIANCE,P072,GATES/DOORS - SELF-CLOSING / LATCHING,9479
DAWMSF0DX,OUT OF COMPLIANCE,H084,COMMON RESTROOM,9480
DAWMSF0DX,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9481
DAXFDW8RD,OUT OF COMPLIANCE,H066,SEWER/DRAIN LINES - PREMISES,9482
DAZCJ8DH7,OUT OF COMPLIANCE,H019,MISSING COMFORT HEAT - UNIT,9483
DA7FWAXDS,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9484
DA7FWAXDS,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9485
DAGJSKE63,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9486
DAGJSKE63,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9487
DAGJSKE63,OUT OF COMPLIANCE,CP23,EQUIPMENT AND APPLIANCES MAINTAINED,9488
DAHMYLUEO,OUT OF COMPLIANCE,H005,RATS/MICE - UNIT,9489
DAMF8RFJR,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9490
DANAVRZSW,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9491
DANAVRZSW,OUT OF COMPLIANCE,H057,COCKROACHES - PREMISES,9492
DANAVRZSW,OUT OF COMPLIANCE,H085,LAUNDRY ROOM/REC ROOM - PREMISES,9493
DAPNNM8N3,OUT OF COMPLIANCE,H036,WINDOWS/SCREENS - UNIT,9494
DAPUFN090,OUT OF COMPLIANCE,H001,COCKROACHES - UNIT,9495
DASFT8BG6,OUT OF COMPLIANCE,H089,WALL/CEILING/FLOOR - GENERAL - PREMISES,9496
DASFT8BG6,OUT OF COMPLIANCE,H087,CAST-OFFS/DEBRIS/WASTE - PREMISES,9497
DASFT8BG6,OUT OF COMPLIANCE,H094,ROOF - PREMISES,9498
DASFT8BG6,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9499
DAXOHAMFE,OUT OF COMPLIANCE,H018,UNAPPROVED TYPE - UNIT,9500
DAXT6BWPI,OUT OF COMPLIANCE,H004,BEDBUGS - UNIT,9501
DAYKPXP4Y,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9502
DAYMIKELI,OUT OF COMPLIANCE,H006,NO HOT-WATER - UNIT,9503
DA31SPSO9,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9504
DA2QY5PVL,OUT OF COMPLIANCE,H033,WALL/CEILING/FLOOR - GENERAL - UNIT,9505
DA2QY5PVL,OUT OF COMPLIANCE,H015,TUB/SHOWER STALL - UNIT,9506
DA2QY5PVL,OUT OF COMPLIANCE,H035,WALL/CEILING/FLOOR - MOLD - UNIT,9507
DA2QY5PVL,OUT OF COMPLIANCE,H020,APPLIANCES - UNIT,9508
DA2QY5PVL,OUT OF COMPLIANCE,H056,WATER TOO HOT: OVER 120ØF,9509
DA2QY5PVL,OUT OF COMPLIANCE,H045,SINK BASIN - UNIT,9510
